Confnum,Reservation ID,Status,Booking Date,Arrival Date,Departure Date,Booking Window,LOS,Quantity,Room Type,Revenue,Adults,Children,Rate Code,Market Segment Group,Market Code,Source Code,Reservation Type,Block Id
135752,129610,CKOT,6/2/18,6/2/18,6/3/18,0,1,1,ADA,244,2,0,NSYX,OTA E-Commerce,TEC,EXPDC,,
135753,129611,CKOT,6/1/18,6/1/18,6/2/18,0,1,1,ADA,265,1,0,RR,BAR,RAC,PMS,,
135893,129744,CKOT,6/2/18,8/5/18,8/11/18,64,6,1,D1K,2484,1,0,NB15,OTA E-Commerce,TEC,BOOKINGDC,,
135894,129745,CKOT,6/2/18,8/27/18,8/30/18,86,3,1,D1K,909,2,0,NH7,Retail Discount,CSI,UA,,
135896,129747,CKOT,6/2/18,6/22/18,6/24/18,20,2,1,A1K,747,2,0,NH7,Retail Discount,CSI,UA,,
135900,129751,CKOT,6/2/18,6/5/18,6/6/18,3,1,1,B1K,423,2,0,NH7,Retail Discount,CSI,UA,,
135901,129752,CKOT,6/2/18,10/1/18,10/7/18,121,6,1,D1K,2520,2,0,N78M,OTA E-Commerce,TEC,EXPDC,,
135903,129754,CKOT,6/2/18,6/7/18,6/10/18,5,3,1,A1K,783,2,0,T08,Retail Discount,TRA,XBE,,
135904,129755,CKOT,6/2/18,6/9/18,6/10/18,7,1,1,D1K,275,2,0,NH7,Retail Discount,CSI,UA,,
135905,129756,CKOT,6/2/18,7/5/18,7/7/18,33,2,1,D1K,840,2,0,R04,BAR,RAC,XBE,,
135908,129759,CKOT,6/2/18,6/15/18,6/16/18,13,1,1,D1K,293,2,0,NH7,Retail Discount,CSI,UA,,
135909,129760,CKOT,6/2/18,9/28/18,9/30/18,118,2,1,D1K,531,2,0,NH7,Retail Discount,CSI,UA,,
135910,129761,CKOT,6/2/18,9/22/18,9/24/18,112,2,1,D1K,680,2,0,NH7,Retail Discount,CSI,UA,,
135911,129762,CKOT,6/2/18,12/9/18,12/13/18,190,4,1,B1K,887,2,0,N78M,OTA E-Commerce,TEC,EXPDC,,
135912,129763,CKOT,6/2/18,6/14/18,6/16/18,12,2,1,D1K,797,2,0,NH7,Retail Discount,CSI,AA,,
135913,129764,CKOT,6/2/18,7/14/18,7/15/18,42,1,1,B1K,335,2,0,T05,Retail Discount,TRA,XBE,,
135914,129765,CKOT,6/2/18,7/28/18,8/2/18,56,5,1,D1K,1670,1,0,NH7,Retail Discount,CSI,UA,,
135916,129767,CKOT,6/3/18,6/2/18,6/4/18,0,2,1,B1K,565,1,0,R04,BAR,RAC,XBE,,
135924,129775,CKOT,6/3/18,8/31/18,9/3/18,89,3,1,B1K,827,1,0,T08,Retail Discount,TRA,XBE,,
135925,129776,CKOT,6/3/18,6/28/18,6/29/18,25,1,1,B1K,216,2,0,NFCC,OTA E-Commerce,TEC,1P,,
135926,129777,CKOT,6/3/18,6/5/18,6/9/18,2,4,1,B1K,1320,2,0,NB15,OTA E-Commerce,TEC,BOOKINGDC,,
135927,129781,CKOT,6/3/18,10/18/18,10/19/18,137,1,1,B1K,331,2,0,NY6B,Retail Discount,TRA,DSF,,
135928,129782,CKOT,6/3/18,7/16/18,7/21/18,43,5,1,D1K,2043,2,0,NH7,Retail Discount,CSI,UA,,
135951,129806,CKOT,6/4/18,6/4/18,6/5/18,0,1,1,A1K,342,1,0,NH7,Retail Discount,CSI,UA,,
135930,129784,CKOT,6/3/18,6/5/18,6/6/18,2,1,1,D1K,423,2,0,NH7,Retail Discount,CSI,UA,,
