ROH0,DOW,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
40,Thursday,39.16534999999999,45.248331746031745,42.746321428571434,49.82786904761907,47.486804761904786,47.494108730158764,47.69216666666668,41.05551343788423,40.47198995654266,43.089292281950364,44.626936447283676,48.11671834069764
43,Sunday,43.066900000000004,43.251009523809515,47.80186190476188,44.70090000000001,49.188428571428595,44.32039523809522,48.72835873015874,44.65125993478636,45.8135210805468,48.0990652519242,40.30245346066089,40.847764207259
31,Friday,30.954171428571417,34.99749999999998,32.06985714285716,36.9766886724387,32.20565536685537,35.63854762459762,32.96714920634921,37.79925682566081,40.265128914733495,40.71246789836497,41.62877179137391,38.257879577767454
58,Monday,56.486614285714225,57.47691536796537,58.096766666666674,60.50584285714282,58.633833333333335,60.02368744588747,59.45836190476193,57.338101610355075,54.26605452743822,49.49214357327658,42.43388515658485,45.13082515434595
52,Tuesday,50.10480952380952,50.86736883116885,48.556955555555575,51.0696038961039,48.432614285714244,46.78663593073596,49.93966666666663,41.52732662591443,44.06924734767534,41.90575824267659,42.39201530335497,33.983376062286844
49,Wednesday,44.037134920634905,36.15672222222222,38.566814285714266,37.81875000000001,35.599819841269856,36.67604285714284,37.23363333333334,40.27263119683731,38.015447668440466,42.35960587709376,40.19635330371405,37.90476966394304
43,Thursday,45.440214285714234,43.271769047619046,42.21877142857144,44.11263809523806,47.91035238095238,44.87228333333334,50.64313809523811,47.85339322809113,51.865601108880064,49.21065431095933,45.204911206814444,36.64710373071947
35,Tuesday,35.86564206349207,35.702021428571435,36.73927619047619,33.77497142857142,38.67429047619047,38.219494805194806,33.53589523809522,36.939701603152386,38.919221879664256,32.19155539236786,38.47825567499508,37.93300964829126
28,Wednesday,31.229366666666667,29.91219999999999,31.576271428571438,31.322100000000006,33.26635952380952,34.42248854478853,33.1391057997558,40.27263119683731,37.698504965642414,44.31124994136992,39.81820532120866,41.17720847965064
38,Sunday,33.901295238095244,35.0694142857143,39.798352380952394,39.07591428571427,40.209445238095235,41.087968253968256,36.35247395382397,34.98720462075269,32.326487204756425,33.97453862144863,32.849418884459105,35.16204635925341
44,Thursday,43.495649206349206,39.08954285714285,42.21877142857144,44.7794619047619,41.27988701298701,38.87634916194918,38.71762893217892,41.05551343788423,38.80981659740268,51.89640520807147,43.34279516043196,40.40031156358849
45,Friday,49.454552380952364,47.24616666666665,47.22410952380951,42.79033333333335,44.282645238095235,45.668158585858585,45.54688015873017,40.02258636702873,40.265128914733495,51.26322354091753,46.80284998485361,44.49008651566405
38,Saturday,41.26536190476191,43.75405476190474,37.866484126984105,39.52493809523808,38.164525901875905,37.50346349206352,37.98141666666671,39.52142087563836,35.37243752603141,41.848735088203014,39.24006628632367,38.62420699662254
42,Wednesday,44.89509170274172,41.77684523809521,42.080583333333315,42.407911904761896,42.10796190476193,44.098335714285696,41.092328571428574,42.91295724209318,15.998103131617913,22.84613773136812,39.056087312542616,38.054547995358526
26,Tuesday,28.9051738095238,30.879458730158742,31.223851082251073,31.986678571428573,30.6143246031746,34.019714285714265,34.82892857142857,36.581866447911224,38.919221879664256,42.64854365828923,43.41766969361329,40.61800115497017
39,Friday,37.56913080808083,39.27397857142858,44.654038095238086,41.34796111111108,38.785523809523816,38.61201904761904,44.426395238095225,40.02258636702873,39.00499168332277,34.88692021159164,39.11587576177223,42.966672859577486
28,Tuesday,31.4627619047619,32.067330158730165,32.00838095238097,32.49739523809525,30.6143246031746,30.34894206349206,30.58174126984127,42.24397799399082,38.2916479728287,33.00054156562162,32.653886336875786,37.40883100752696
43,Friday,45.16029523809525,47.29946666666665,47.834319047619076,49.496257359307386,49.27755634920634,51.389722222222204,50.83217380952379,46.84415491608634,50.55861673498896,49.46599878723682,46.80284998485361,42.966672859577486
