ROH0,DOW,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
26,Sunday,30.495352380952387,30.850433333333328,30.82015873015872,31.00993333333336,30.050719047619033,30.330349999999974,30.76598785070551,35.69137484887539,35.429629336933765,38.17609251909413,41.41897981994596,37.95435918956533
49,Thursday,52.27825,51.353943345543385,52.360167604617644,51.05650952380952,51.928566666666654,52.00978412698415,51.715202197132626,47.56107646386403,51.56599015456633,49.388985480561274,43.48913494316346,38.43125839381396
44,Friday,39.75043333333333,39.231790476190454,34.273023809523806,35.33882857142856,39.37129999999999,39.09280000000001,37.47662222574706,38.647022914352014,40.2555210223457,38.64292929149323,39.97062605009125,39.399168831778674
30,Tuesday,30.919433333333334,31.7769,32.22613333333334,31.777935714285704,32.26046046176048,32.687033333333325,32.21572931890295,42.31095650475225,42.78810446598801,52.235063906014396,41.293895990659976,39.75840579632732
43,Friday,36.04331428571429,38.001728571428565,34.273023809523806,35.33882857142856,35.076433333333355,35.564842857142864,33.836078824410976,33.30652765504563,38.742155133334336,28.111990324220585,34.54084007646963,38.60273058611061
56,Monday,59.48092857142859,58.092071428571415,58.94780476190477,60.57351904761906,60.35118369963372,65.80618968253968,59.7767709042054,55.79882655147398,55.855205006099546,56.52033877479453,51.172427403031996,52.320911950102044
55,Friday,49.236754761904756,51.45961428571428,50.92328571428573,52.79059329004325,56.1114222222222,50.62494047619047,50.81481890344566,49.800242535307184,50.2991305368029,48.1315615354991,45.79864454839588,44.57713749699546
22,Saturday,22.43465,24.109466666666666,25.3452,24.981938095238082,25.4301,24.011947619047614,27.15547190588653,34.405597203292324,19.45947177074975,20.705423397207426,29.57599717565134,36.84080746091978
24,Sunday,23.769666666666673,23.842800000000004,22.606152380952366,23.702433333333328,25.1575,21.95893333333333,22.61050965013599,24.88705743583462,27.99115949714915,33.570501226622724,33.52375319239171,37.24452895162587
35,Saturday,37.97967936507939,38.654676856476826,39.207360317460285,36.36057510822511,36.225784126984145,38.540548412698406,39.09161127935556,38.69847576853876,40.8442627344521,36.703772462817675,37.9947732110463,38.91810881301264
15,Tuesday,15.670333333333335,14.462866666666665,14.28316666666666,13.735199999999997,10.810433333333334,11.241499999999998,12.986173618251582,21.40499261036601,19.978026506798994,26.973760357986137,32.615596063127875,37.425393454406965
46,Thursday,49.9012,50.04292619047621,46.13466031746029,47.36532142857143,47.289028571428574,44.440804761904765,45.895384587252124,47.9539827254624,40.891627275678786,49.2741225066182,42.64839930203465,36.55012264447319
43,Friday,37.33643333333334,38.001728571428565,40.88483809523808,37.132866666666644,41.92947142857144,41.776250000000005,37.47662222574706,41.61659714691706,46.01972444017056,39.8500759437815,39.97062605009125,38.60273058611061
48,Wednesday,41.79169365079364,40.156092063492046,41.435257142857125,41.55717619047618,39.61439999999999,39.65545238095239,40.080370782486185,48.42448534478479,44.2115564392964,42.74927272316645,39.978800419659784,40.742936326187696
40,Thursday,39.51249523809524,44.55044603174604,42.639071428571434,49.21260714285714,47.41427380952383,48.41543650793651,47.86715124938756,40.956197796344796,40.076698381781405,43.09255059418218,43.801030673749494,46.66293173439766
43,Sunday,43.26518571428571,43.99663333333335,47.58475238095237,45.172952380952346,49.44188571428571,44.1892515873016,49.15335525643029,44.967246396861405,47.948675226576995,49.195055423642366,43.28662520265118,42.72813922994206
31,Friday,30.678699999999996,34.35016666666669,31.22696666666667,36.21811904761905,32.46826666666665,36.37835952380952,33.836078824410976,38.076179835175424,40.417781527515565,38.64292929149323,41.16146187612574,38.60273058611061
58,Monday,56.64453333333331,57.33937619047619,58.10953333333335,60.57351904761906,58.44836190476191,59.971956349206295,57.86433571417448,56.85108732774623,54.560882997765084,49.521754523720595,41.64276441704554,44.2129910842435
52,Tuesday,49.957833333333326,49.973504761904785,47.36706666666667,49.665369047619045,47.94020000000002,46.49939009879008,48.58662509339832,40.923222193054286,44.518228494312645,41.693084421030235,41.52373221086943,35.205456424613786
