ROH0,DOW,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
22,Saturday,22.25283333333333,23.738100000000003,24.549233333333323,24.76370000000002,24.683999999999994,24.430666666666664,25.744333333333326,34.64340000000001,17.770966666666652,22.74308241040716,27.170384557162315,36.80239971485079
24,Sunday,22.901100000000003,22.89213333333332,22.918466666666664,22.371100000000016,22.402166666666663,22.153166666666664,22.889999999999986,21.786299999999997,30.701900000000002,32.87513085493669,31.58947728787332,37.58842240698363
35,Saturday,35.883833333333335,36.89946666666667,35.14856666666666,35.44446666666669,35.50436666666665,35.844466666666655,35.90629999999999,38.858800000000016,40.060166666666674,37.66238101662646,37.54024872108001,38.39921628573624
15,Tuesday,13.329300000000005,12.515199999999998,12.578699999999998,11.86503333333333,11.633799999999997,11.576133333333344,12.469299999999995,19.95406666666667,17.979333333333333,24.591745459596872,29.042132990662655,37.4921790044402
46,Thursday,49.661133333333304,49.46426666666664,46.64979999999998,46.94573333333335,45.45123333333332,44.56076666666666,45.935366666666674,44.394000000000005,43.024833333333305,45.462329526440456,41.71223958396698,36.095529479502325
43,Friday,36.65466666666666,37.829933333333344,38.38716666666669,36.88023333333333,38.02366666666667,37.97776666666668,37.0018,42.582000000000036,45.814833333333326,41.16034315241614,37.45116488434096,38.15661612206739
48,Wednesday,42.64470000000003,40.82390000000004,40.49193333333335,41.531866666666694,40.40323333333333,39.83209999999998,38.769033333333326,46.05749999999999,46.55633333333332,42.80677452751492,41.43263083956582,41.13955090885066
40,Thursday,39.9106,42.475799999999985,43.5701,47.41303333333333,46.94846666666669,47.79563333333336,49.96486666666668,37.099233333333345,40.46509999999999,47.02483217076135,48.90994105859191,47.77720409893578
43,Sunday,42.94556666666669,44.99079999999999,47.72020000000002,47.19813333333336,46.77113333333336,44.54793333333331,49.750299999999996,48.18359999999999,48.58480000000002,45.84906928039712,40.37951763470314,40.591182730037474
31,Friday,31.01116666666666,33.73130000000001,33.38326666666665,35.62809999999998,33.59943333333334,34.50386666666666,33.742366666666655,36.69246666666668,40.01659999999999,40.921624565549905,39.84575543811686,38.15661612206739
